,class,ip
0,class3,52.223.228.27
1,class5,52.223.228.62
2,class3,52.223.228.95
3,class3,52.223.227.232
4,class5,52.223.228.106
5,class3,52.223.228.7
6,class3,52.223.228.107
7,class3,52.223.228.90
8,class3,52.223.228.102
9,class3,52.223.228.8
10,class3,52.223.228.13
11,class3,52.223.228.98
12,class3,52.223.227.214
13,class3,52.223.228.17
14,class3,52.223.228.85
15,class3,52.223.227.241
16,class3,52.223.228.89
17,class3,52.223.228.97
18,class3,52.223.228.99
19,class3,52.223.228.123
20,class3,52.223.228.10
21,class3,52.223.228.71
22,class3,52.223.228.110
23,class3,52.223.228.30
24,class3,52.223.228.9
25,class3,52.223.228.28
26,class3,52.223.228.125
27,class5,52.223.228.26
28,class3,52.223.228.19
29,class3,52.223.228.59
30,class0,99.181.96.118
31,class0,99.181.96.163
32,class0,99.181.96.189
33,class0,99.181.96.107
34,class0,99.181.96.156
35,class0,99.181.96.125
36,class0,99.181.96.111
37,class0,99.181.96.100
38,class0,99.181.96.112
39,class0,99.181.96.134
40,class2,52.223.226.70
41,class2,52.223.226.144
42,class1,52.223.226.96
43,class1,52.223.226.150
44,class2,99.181.97.36
45,class3,192.16.65.161
46,class4,99.181.97.79
47,class1,52.223.226.73
48,class1,52.223.244.221
49,class1,52.223.226.149
50,class1,52.223.226.101
51,class1,52.223.226.104
52,class2,99.181.97.142
53,class2,99.181.97.112
54,class2,99.181.97.178
55,class1,52.223.244.209
56,class1,52.223.244.79
57,class2,99.181.97.111
58,class1,52.223.226.126
59,class2,99.181.97.100
60,class1,52.223.244.172
61,class3,192.16.65.112
62,class3,52.223.227.173
63,class3,52.223.227.28
64,class2,99.181.97.133
65,class2,52.223.226.112
66,class4,99.181.97.110
67,class1,52.223.226.81
68,class3,192.16.65.137
69,class2,99.181.97.55
70,class3,192.16.65.6
71,class2,52.223.226.146
72,class3,52.223.227.169
73,class3,192.16.65.118
74,class1,52.223.226.78
75,class3,192.16.65.101
76,class2,99.181.97.45
77,class3,192.16.65.171
78,class2,52.223.226.69
79,class2,99.181.97.62
80,class1,52.223.226.107
81,class2,99.181.97.53
82,class1,52.223.226.141
83,class3,192.16.65.158
84,class3,52.223.227.71
85,class3,192.16.65.20
86,class2,52.223.226.94
87,class2,52.223.226.108
88,class3,52.223.227.106
89,class2,99.181.97.99
90,class1,52.223.226.234
91,class2,99.181.97.105
92,class1,52.223.226.140
93,class3,192.16.65.40
94,class4,99.181.97.113
95,class1,52.223.226.124
96,class2,99.181.97.170
97,class2,99.181.97.57
98,class3,192.16.65.174
99,class3,52.223.227.107
100,class4,99.181.97.68
101,class3,192.16.65.133
102,class1,52.223.226.74
103,class3,52.223.227.171
104,class2,99.181.97.176
105,class3,192.16.65.141
106,class1,52.223.244.254
107,class2,99.181.97.146
108,class2,52.223.226.76
